Residential_Land_Use,Melbourne_Metropolitan_Area_Houses_no_of_sales,Melbourne_Metropolitan_Area_Houses_Mean_Price_($),Melbourne_Metropolitan_Area_Houses_Median_Price_($),Melbourne_Metropolitan_Area_Median Price per Unit Area_($/SM),Melbourne_Metropolitan_Area_Median_Block_Size_(SM),Melbourne_Metropolitan_Area_Price_Indices_base_is_100_2016,Melbourne_Metropolitan_Area_Price_Indices_base_is_100_2014,Melbourne_Metropolitan_Area_Mean_Block_size_(SM),Melbourne_Metropolitan_Area_Mean_Price_per_Unit_Area_($/SM),Country_Victoria_Houses_no_of_sales,Country_Victoria_Houses_Mean_Price_($),Country_Victoria_Houses_Median_Price_($),Country_Victoria_Median Price per Unit Area_($/SM),Country_Victoria_Median_Block_Size_(SM),Country_Victoria_Price_Indices_base_is_100_2016,Country_Victoria_Price_Indices_base_is_100_2014,Country_Victoria_Mean_Block_size_(SM),Country_Victoria_Mean_Price_per_Unit_Area_($/SM),Victoria_Houses_no_of_sales,Victoria_Houses_Mean_Price_($),Victoria_Houses_Median_Price_($),Victoria_Median Price per Unit Area_($/SM),Victoria_Median_Block_Size_(SM),Victoria_Price_Indices_base_is_100_2016,Victoria_Price_Indices_base_is_100_2014,Victoria_Mean_Block_size_(SM),Victoria_Mean_Price_per_Unit_Area_($/SM),Melbourne_City_Houses_no_of_sales,Melbourne_City_Houses_Mean_Price_($),Melbourne_City_Houses_Median_Price_($),Melbourne_City_Median Price per Unit Area_($/SM),Melbourne_City_Median_Block_Size_(SM),Melbourne_City_Price_Indices_base_is_100_2016,Melbourne_City_Price_Indices_base_is_100_2014,Melbourne_City_Mean_Block_size_(SM),Melbourne_City_Mean_Price_per_Unit_Area_($/SM)
Age Care/Nursing Uns,13,16043775,9500000,2960.25,4040.50,171.02,221.45,11158.17,1555.73,5,7692000,8700000,1189.45,8262.50,404.2,870.00,7558.50,693.26,18,13723838,9100000,1789.81,4466.00,164.63,223.04,10258.25,1396.86,,,,,,,,,
Boarding House,11,1971409,1065000,1323.99,642.00,106.50,60.43,629.00,3134.20,4,424500,455000,313.51,605.00,0,0,855.75,496.06,15,1558900,850000,1323.99,642.00,105.46,48.23,689.47,2261.02,,,,,,,,,
Cojoin Strata Unsp,470,791767,582500,0,0,112.02,126.63,0,0,53,360019,300000,0,0,403.7,115.38,0,0,523,748015,530000,0,0,106.00,117.78,0,0,25,1173526,915500,0,0,114.58,115.81,0,0
Conjoined StrataUnit,202,500654,477750,0,0,119.44,367.50,0,0,6,230026,232500,0,0,0,0,0,0,208,492847,475000,0,0,121.79,365.38,0,0,,,,,,,,,
Detached Home (New),357,652424,570000,1666.67,426.00,118.50,120.51,448.46,1454.81,191,522596,470000,1445.90,536.00,82.8,137.43,605.93,862.47,548,607174,540000,1049.78,462.00,117.39,125.61,503.34,1206.28,,,,,,,,,
Detached Home Unsp,54460,954932,720000,1471.81,603.00,110.77,130.91,647.74,1473.10,25341,386074,345000,651.43,700.00,49.9,119.34,853.32,453.43,79801,774290,590000,1584.91,636.00,111.32,122.92,712.42,1088.86,272,1907197,1365500,3545.45,176.00,113.32,153.43,246.91,7758.86
Detached Home(Comm),2,711000,711000,1932.52,552.00,33.07,74.84,552.00,1288.04,18,377080,377500,488.50,721.50,46.0,43.14,684.56,550.84,20,410472,390000,488.50,721.50,95.12,42.74,671.30,611.46,,,,,,,,,
Detached Home(exist),2952,803149,706000,990.55,582.00,120.68,124.96,638.75,1250.99,1855,324331,295000,187.50,800.00,0,96.72,1011.99,320.30,4807,618375,599955,941.92,637.00,127.11,133.32,782.70,786.90,1,1105000,1105000,0,0,113.86,116.99,0,0
Disability Housing,1,1130000,1130000,1000.89,1129.00,13.70,0,1129.00,1000.89,2,1622501,1622501,467.02,3264.00,148.3,0,3264.00,497.09,3,1458334,1130000,1000.89,1129.00,26.65,0,2552.33,571.37,,,,,,,,,
Dorm Accom Unspec,9,152133,110000,18.63,5098.00,7.86,64.37,5098.00,18.63,,,,,,,,,,9,152133,110000,18.63,5098.00,7.86,64.37,5098.00,18.63,1,174000,174000,0,0,22.52,0,0,0
Dormitory Accom,3,141666,125000,152.94,1275.00,5.78,0,1275.00,152.94,,,,,,,,,,3,141666,125000,152.94,1275.00,5.78,0,1275.00,152.94,1,125000,125000,0,0,5.78,0,0,0
Garage/Outbuild Res,1,830000,830000,413.35,2008.00,0,0,2008.00,413.35,8,198937,154250,145.33,2338.50,0,206.35,18111.50,10.98,9,269055,168500,413.35,2008.00,111.96,225.42,16322.22,16.48,,,,,,,,,
Granny Flat/Studio,3,1001083,1350000,2934.78,460.00,139.82,350.65,460.00,2934.78,3,351333,255000,754.44,338.00,9.1,0,438.67,800.91,6,676208,427500,1844.61,399.00,85.50,111.04,444.00,1353.60,,,,,,,,,
Half Pair or Duplex,32,1032171,918000,4382.91,316.00,104.32,165.41,367.60,2863.60,2,152500,152500,329.43,512.00,2.6,48.49,512.00,297.85,34,980426,915500,4382.91,316.00,111.37,166.45,378.30,2606.37,,,,,,,,,
House & Flat/Studio,1,750000,750000,0,0,118.11,0,0,0,,,,,,,,,,1,750000,750000,0,0,130.43,0,0,0,,,,,,,,,
Individual Berth,42,192880,170000,0,0,105.59,136.55,0,0,,,,,,,,,,42,192880,170000,0,0,109.68,136.55,0,0,,,,,,,,,
Individual Car Park,236,65354,47500,0,0,114.80,135.71,0,0,7,137686,120000,0,0,75.5,685.71,0,0,243,67438,48000,0,0,116.36,137.14,0,0,139,61501,60000,0,0,109.09,142.86,0,0
Individual Flat,23,1020369,750000,2095.14,373.50,132.74,161.81,346.00,2212.79,1,90000,90000,0,0,92.9,35.29,0,0,24,981604,750000,2095.14,373.50,162.34,220.59,346.00,2212.79,,,,,,,,,
MisImpRuralLand Unsp,6,1235833,1095000,5.32,100050.00,146.00,244.69,96571.67,12.80,69,194898,140000,2.15,40000.00,129.7,97.90,50388.91,3.87,75,278173,150000,2.15,40000.00,93.17,100.00,54083.53,5.14,,,,,,,,,
OYO Cluster Unit,2,676000,676000,0,0,102.42,0,0,0,,,,,,,,,,2,676000,676000,0,0,102.42,0,0,0,,,,,,,,,
OYO Strata Flat,421,505023,450000,0,0,98.90,118.42,0,0,,,,,,,,,,421,505023,450000,0,0,98.90,118.42,0,0,,,,,,,,,
OYO Stratum Flat,25,477019,450000,0,0,96.77,114.65,0,0,,,,,,,,,,25,477019,450000,0,0,96.77,114.65,0,0,,,,,,,,,
OYO Sub Dwelling,84,847387,773000,0,0,102.05,0,0,0,8,254062,217500,0,0,207.8,0,0,0,92,795793,758500,0,0,103.90,0,0,0,,,,,,,,,
OYO Sub Unit,851,585789,512000,53.91,12522.00,106.44,74.20,12522.00,53.91,51,251490,240000,0,0,100.0,0,0,0,902,566888,499500,53.91,12522.00,111.00,72.39,12522.00,53.91,,,,,,,,,
OYO Subdivided Flat,751,609984,510000,625.00,200.00,99.08,107.37,200.00,625.00,,,,,,,,,,751,609984,510000,625.00,200.00,99.08,107.37,200.00,625.00,,,,,,,,,
OYO Unit,57,984396,950000,632.41,1265.00,115.15,156.38,1265.00,632.41,3,299166,355000,0,0,56.9,0,0,0,60,950134,935000,632.41,1265.00,113.68,153.91,1265.00,632.41,,,,,,,,,
Res Co Sh Unit HR,9,502444,486000,0,0,126.07,0,0,0,,,,,,,,,,9,502444,486000,0,0,126.07,0,0,0,,,,,,,,,
Res Co Sh Unit Unsp,19,547328,480000,0,0,90.40,98.61,0,0,,,,,,,,,,19,547328,480000,0,0,90.40,98.61,0,0,,,,,,,,,
Res Dev Site,75,2917167,1927500,2813.12,2660.00,128.50,151.98,5500.81,521.58,13,789707,760000,231.26,3493.50,35.6,88.37,4434.17,185.89,88,2602883,1760000,740.58,2724.50,132.83,146.67,5351.98,482.77,,,,,,,,,
Res Investment Flat,183,2324013,1620000,4560.81,592.00,185.67,385.71,685.02,2872.01,86,537743,417500,919.61,639.50,22.7,145.22,608.61,1149.72,269,1752938,1000000,4560.81,592.00,149.48,251.26,662.48,2405.12,7,3918278,3900000,19415.81,291.00,121.50,523.14,291.00,19415.81
Res Land (WithBuild),493,1049419,892000,813.99,715.00,111.08,93.89,818.51,1288.48,48,413367,427500,472.51,990.50,41.4,1005.88,2182.33,188.69,541,992986,860000,1268.97,725.00,110.26,109.07,937.10,1065.77,2,3369500,3369500,3943.89,809.50,0,0,809.50,4162.45
Res/Rural Lstyle,1826,1411447,1064000,140.97,10015.00,108.57,127.27,26565.94,53.41,5103,539637,480000,33.25,20000.00,172.6,120.30,109156.68,4.94,6929,769385,580000,56.50,17700.00,106.42,119.59,87493.53,8.80,10,803017,663500,204.73,6040.00,60.66,0,7391.75,113.36
ResLandWithImprovemt,8,583125,542500,1263.80,815.00,5166.67,15500.00,1037.20,667.37,48,168758,123500,200.00,1010.00,0,205.83,5208.17,32.40,56,227953,147500,369.50,977.00,357.58,951.61,4814.68,45.31,1,85000,85000,0,0,850.00,2833.33,0,0
Retire Village Compl,20,25324515,21522951,535.03,53878.50,148.43,409.96,44941.17,508.50,3,12949281,12569143,346.31,32572.50,59.2,207.50,32572.50,253.73,23,23710354,20175996,371.72,50279.50,152.85,384.30,43174.21,481.04,,,,,,,,,
Retire Village Unit,415,437161,405000,0,0,110.35,109.46,0,0,48,258495,242500,145.74,470.00,0,305.99,470.00,145.74,463,418639,395000,145.74,470.00,119.70,116.43,470.00,145.74,2,201250,201250,0,0,45.74,45.22,0,0
Row House,13,641199,665000,5141.84,141.00,98.96,0,126.50,5268.84,,,,,,,,,,13,641199,665000,5141.84,141.00,98.96,0,126.50,5268.84,,,,,,,,,
Semi-detached,16,1448062,1052000,2938.90,237.00,138.42,0,342.81,4224.07,1,310000,310000,712.64,435.00,0,0,435.00,712.64,17,1381117,1006000,2928.87,239.00,186.82,0,348.24,3966.05,,,,,,,,,
Semi-detached Unspec,891,1075136,950000,1729.32,266.00,117.28,130.14,301.15,3551.20,56,417003,353500,1377.05,305.00,110.6,107.94,335.57,1217.71,947,1036218,900000,6409.33,269.50,116.13,125.76,303.04,3409.25,23,2147004,1720000,11032.04,179.50,132.21,187.98,232.35,9109.34
Sep House&Curtilage,9,1522000,1250000,292.50,2000.00,79.59,0,2000.00,575.83,,,,,,,,,,9,1522000,1250000,750.00,2000.00,81.12,0,2000.00,575.83,,,,,,,,,
Short Term Hol Accom,2,657500,657500,0,0,165.00,4.04,0,0,29,445517,417500,795.98,647.00,457.4,25.30,1057.88,472.09,31,459193,427000,795.98,647.00,103.83,24.40,1057.88,472.09,2,657500,657500,0,0,298.86,4.04,0,0
Single Strata Unit,303,416345,385000,37.76,14300.00,113.24,148.09,14300.00,37.76,29,374744,315000,0,0,488.0,75.00,0,0,332,412711,379500,37.76,14300.00,111.62,138.03,14300.00,37.76,,,,,,,,,
Single Strata Unsp,17386,614202,542000,4422.16,203.50,107.33,116.56,473.25,1654.52,3270,299838,272500,328.53,347.00,193.5,112.14,347.00,328.53,20656,564435,495000,4694.84,213.00,106.45,112.50,448.00,1449.11,1831,553257,500000,0,0,96.15,98.47,0,0
Special Accomm Res,2,780000,780000,1336.64,583.50,50.52,0,583.50,1336.76,,,,,,,,,,2,780000,780000,1336.64,583.50,50.52,0,583.50,1336.76,,,,,,,,,
Storage Area Res,90,17328,9875,2.60,2691.00,74.81,109.72,5832.71,1.75,2,16250,16250,34.03,529.00,45.0,0,529.00,30.72,92,17305,10000,3.50,1984.00,75.76,111.11,5546.03,1.90,79,18344,9030,3.67,1984.00,75.25,90.30,3741.64,2.73
