Year,Melbourne_Metropolitan_Area_Houses_no_of_sales,Melbourne_Metropolitan_Area_Houses_Median_Price,Melbourne_Metropolitan_Area_Houses_Mean_Price,Melbourne_Metropolitan_Area_Units_Apartments_no_of_sales,Melbourne_Metropolitan_Area_Units_Apartments_Median_Price,Melbourne_Metropolitan_Area_Units_Apartments_Mean_Price,Melbourne_Metropolitan_Area_Vacant_House_Blocks_no_of_sales,Melbourne_Metropolitan_Area_Vacant_House_Blocks_Median_Price,Melbourne_Metropolitan_Area_Vacant_House_Blocks_Mean_Price,Country_Victoria_Houses_no_of_sales,Country_Victoria_Houses_Median_Price,Country_Victoria_Houses_Mean_Price,Country_Victoria_Units_Apartments_no_of_sales,Country_Victoria_Units_Apartments_Median_Price,Country_Victoria_Units_Apartments_Mean_Price,Country_Victoria_Vacant_House_Blocks_no_of_sales,Country_Victoria_Vacant_House_Blocks_Median_Price,Country_Victoria_Vacant_House_Blocks_Mean_Price,Victoria_Houses_no_of_sales,Victoria_Houses_Median_Price,Victoria_Houses_Mean_Price,Victoria_Units_Apartments_no_of_sales,Victoria_Units_Apartments_Median_Price,Victoria_Units_Apartments_Mean_Price,Victoria_Vacant_House_Blocks_no_of_sales,Victoria_Vacant_House_Blocks_Median_Price,Victoria_Vacant_House_Blocks_Mean_Price,Melbourne_City_Houses_no_of_sales,Melbourne_City_Houses_Median_Price,Melbourne_City_Houses_Mean_Price,Melbourne_City_Units_Apartments_no_of_sales,Melbourne_City_Units_Apartments_Median_Price,Melbourne_City_Units_Apartments_Mean_Price,Melbourne_City_Vacant_House_Blocks_no_of_sales,Melbourne_City_Vacant_House_Blocks_Median_Price,Melbourne_City_Vacant_House_Blocks_Mean_Price
1987,53712,89900,114682,16647,75000,109749,17392,34200,46434,19124,60000,66571,2073,60000,73570,10389,19000,23195,72836,83000,102050,18720,73500,105742,27781,28600,37743,477,108000,160019,604,111250,216092,14,84000,153392
1988,64936,109900,138464,20805,89500,136133,23356,39900,53305,23577,67000,75336,2993,66000,81297,12826,22500,26652,88513,95000,121648,23798,85000,129236,36182,34000,43857,493,154000,233469,700,119000,249393,7,110000,259071
1989,44818,132500,167748,15386,112000,151504,15683,51000,65240,20387,77000,86499,2823,74500,87190,12913,26500,31321,65205,117000,142345,18209,105000,141533,28596,40000,49923,369,170000,276137,443,165000,326040,8,90000,203250
1990,38898,131000,163640,14680,115000,140227,11064,50000,61631,16549,80000,89349,2507,78500,88467,9291,29000,33217,55447,119000,141467,17187,109000,132677,20355,42000,48661,315,173750,238390,463,147000,245903,6,81250,86900
1991,40391,127000,155044,13541,109000,130533,11733,45500,54415,15648,80000,88457,2209,80000,89416,7001,29000,32629,56039,115000,136451,15750,104000,124766,18734,40000,46274,389,157000,208301,363,148500,217640,7,87000,93071
1992,42437,125000,152273,14828,110000,134223,13416,45500,54882,17414,81750,89707,2332,81000,89329,7726,30000,33890,59851,114000,134069,17160,105000,128122,21142,40000,47211,431,152000,202440,984,177000,201199,13,85000,134320
1993,45596,126000,153059,17490,110000,136822,14092,48975,58086,18879,83500,93007,2488,80000,88476,8428,31000,35733,64475,115000,135475,19978,105000,130801,22520,42000,49721,472,159150,213399,1710,183000,209386,28,60000,137677
1994,48657,130000,161184,20133,115000,144289,14240,52000,63197,19716,85955,95578,2615,82500,90821,8908,31500,36426,68373,117500,142266,22748,110000,138143,23148,44000,52895,492,175125,232811,1743,188000,226179,40,81500,124539
1995,45949,129000,160850,16574,115000,142726,11910,55000,71340,18584,85000,98148,2095,83000,90698,7314,33000,42578,64533,117000,142793,18669,110000,136887,19224,46000,60397,462,173250,228496,1335,205000,234800,41,69500,78797
1996,48553,131000,163297,19357,115000,144570,11398,55000,65719,19125,85500,98489,2160,82250,98757,6711,33000,42603,67678,118500,144983,21517,110000,139971,18109,46500,57152,590,162000,207556,1628,205000,243440,105,52000,68079
1997,59851,142000,181403,26882,127500,160055,16551,59000,72064,21844,88000,102240,2703,80000,89727,8040,34300,44341,81695,127000,160236,29585,122000,153630,24591,50500,63000,724,195500,249432,2380,191000,232792,175,53000,69592
1998,56057,155000,196529,25166,140000,174015,16358,61000,76589,22081,91000,105858,2715,83000,94125,8344,35268,44348,78138,135000,170906,27881,134000,166235,24702,53000,65698,542,220000,280442,2981,200000,244354,168,60000,80425
1999,59252,174000,223592,29691,170000,210237,21407,65000,78009,23714,100000,114894,2924,88500,105454,9104,38000,43564,82966,150000,192523,32615,160000,200843,30511,57500,67731,599,266000,337347,4706,232000,288037,148,72000,107355
2000,59039,190000,243239,29864,188000,230142,15729,65444,73777,27094,105000,119477,3574,97375,118414,8516,39000,43357,86133,160000,204308,33438,176000,218200,24245,57500,63092,540,300000,386517,4045,282000,354875,82,82000,109827
2001,68817,225000,281153,36727,230250,272003,24407,74000,86752,31592,120000,135742,4616,106000,126293,13863,44000,50421,100409,185000,235402,41343,217000,255735,38270,65000,73591,634,341750,431516,6026,323000,376316,64,122500,136697
2002,65060,260000,323759,32220,260000,306165,21989,90000,99800,31956,145000,163914,4521,126000,147745,15231,52500,56969,97016,220000,271108,36741,245000,286672,37220,76000,82273,555,400000,528415,5467,345000,405943,21,96000,107011
2003,61501,291000,361617,30225,274000,322612,22533,117000,126336,27492,171000,189202,4466,158500,184478,12776,65000,72858,88993,250000,308354,34691,259000,304829,35309,98000,106986,532,421000,560966,3839,340472,398318,1,84000,84000
2004,53806,308800,381638,25924,277000,325987,13207,135000,144992,24581,190000,211152,4135,177000,209776,9265,75000,82698,78387,270000,328176,30059,263000,310001,22472,114000,119309,422,470000,656109,3314,320000,372513,13,165000,169497
