longitude,latitude
144.9958,-37.8014
144.9984,-37.7996
144.9934,-37.8079
145.0116,-37.8114
144.9944,-37.8093
144.9969,-37.7969
144.9941,-37.8072
144.9965,-37.7965
144.9974,-37.7995
144.9989,-37.7996
144.9953,-37.8041
144.9993,-37.8024
144.9965,-37.8078
144.9936,-37.8066
144.9954,-37.806
144.9973,-37.8008
144.9989,-37.801
144.9972,-37.7998
145.0067,-37.811
144.9964,-37.8085
144.9965,-37.8078
144.9942,-37.8084
144.9973,-37.8084
144.9988,-37.8016
144.9976,-37.809
144.9959,-37.8093
144.993,-37.8056
144.9965,-37.8021
144.9975,-37.8022
145.0004,-37.8011
144.9952,-37.8073
144.9999,-37.8082
144.9959,-37.8093
144.9965,-37.8078
144.9972,-37.8015
144.9977,-37.8079
144.994,-37.808
144.9941,-37.8092
144.9988,-37.8016
145.0001,-37.8017
144.9965,-37.8078
144.9952,-37.8005
144.9965,-37.7994
144.9969,-37.7972
144.9943,-37.805
144.9958,-37.8007
144.9961,-37.8055
144.9956,-37.8016
144.9954,-37.8022
144.9976,-37.8021
144.9946,-37.8086
144.9942,-37.8084
144.878,-37.718
144.8755,-37.7203
144.8755,-37.7203
144.8736,-37.7235
144.888,-37.7294
144.8837,-37.7218
144.8744,-37.7273
144.8864,-37.7215
144.8872,-37.7173
144.8792,-37.7259
144.8735,-37.7239
144.871,-37.7216
144.8883,-37.7298
144.8792,-37.7234
144.8728,-37.7249
144.8783,-37.7217
144.8855,-37.7302
144.8787,-37.7177
144.8699,-37.7248
144.887,-37.727
144.876,-37.7186
144.8863,-37.7218
144.8742,-37.7269
144.8765,-37.7187
144.8796,-37.7173
144.8835,-37.7231
144.8679,-37.7263
144.8694,-37.7285
144.8792,-37.7164
144.8827,-37.7194
144.8802,-37.7231
144.8776,-37.72
144.8733,-37.7226
144.882,-37.7184
144.8797,-37.7202
144.8824,-37.7181
144.8815,-37.7169
144.869,-37.7263
144.878,-37.72
144.8785,-37.7261
144.8739,-37.7256
144.9555,-37.8459
144.9538,-37.845
144.9499,-37.8481
144.9488,-37.8452
144.953,-37.8405
144.9565,-37.8431
144.9561,-37.8471
144.9484,-37.8444
144.9521,-37.8405
144.9523,-37.8447
144.9536,-37.8449
144.9598,-37.8443
144.952,-37.8415
144.9554,-37.8422
