region,fiscal_year,value,agent,method,suburb
Northern Metropolitan,2017,1350000,Biggin,S,Abbotsford
Western Metropolitan,2017,858000,Raine,SP,Airport West
Western Metropolitan,2017,593000,Nelson,S,Airport West
Western Metropolitan,2017,640000,Nelson,S,Airport West
Western Metropolitan,2017,961000,Nelson,S,Airport West
Southern Metropolitan,2017,1535000,Greg,S,Albert Park
Western Metropolitan,2017,570000,Barry,S,Albion
Northern Metropolitan,2017,2345000,Jellis,S,Alphington
Western Metropolitan,2017,900000,Greg,S,Altona North
Western Metropolitan,2017,650000,RT,SP,Altona North
Western Metropolitan,2017,480000,Sweeney,S,Ardeer
Southern Metropolitan,2017,5200000,Marshall,SP,Armadale
Western Metropolitan,2017,950000,Rendina,S,Ascot Vale
Southern Metropolitan,2017,1225000,hockingstuart,S,Ashwood
Northern Metropolitan,2017,1025000,Stockdale,S,Attwood
Western Metropolitan,2017,622000,Moonee,S,Avondale Heights
Western Metropolitan,2017,825000,McDonald,SP,Avondale Heights
Southern Metropolitan,2017,1475000,Jellis,PI,Balwyn
Southern Metropolitan,2017,3050000,Jellis,VB,Balwyn
Southern Metropolitan,2017,2160000,Noel,S,Balwyn North
Southern Metropolitan,2017,1050000,Ray,PI,Balwyn North
Southern Metropolitan,2017,1275000,Fletchers,VB,Balwyn North
Eastern Metropolitan,2017,640000,Fletchers,S,Bayswater
Eastern Metropolitan,2017,500000,Stockdale,PI,Bayswater North
Eastern Metropolitan,2017,825000,Appleby,SP,Bayswater North
Southern Metropolitan,2017,800000,Hodges,VB,Beaumaris
Southern Metropolitan,2017,1221000,Ray,PI,Beaumaris
Southern Metropolitan,2017,1800000,Buxton,S,Beaumaris
Southern Metropolitan,2017,1823000,Hodges,S,Beaumaris
Southern Metropolitan,2017,2000000,Ray,S,Beaumaris
Southern Metropolitan,2017,1365000,Buxton,S,Bentleigh
Southern Metropolitan,2017,1045000,hockingstuart,SP,Bentleigh
Southern Metropolitan,2017,1220000,Buxton,S,Bentleigh East
Eastern Victoria,2017,627500,C21,SP,Berwick
Eastern Metropolitan,2017,1095000,Fletchers,S,Blackburn
Eastern Metropolitan,2017,1020000,McGrath,S,Blackburn South
Eastern Metropolitan,2017,642000,Stockdale,S,Boronia
Eastern Metropolitan,2017,840000,Barry,S,Briar Hill
Southern Metropolitan,2017,2650000,RT,S,Brighton
Southern Metropolitan,2017,380000,Chisholm,VB,Brighton
Southern Metropolitan,2017,3250000,Hodges,SP,Brighton
Southern Metropolitan,2017,1731000,Buxton,SP,Brighton East
Northern Metropolitan,2017,465000,Barry,S,Broadmeadows
Northern Metropolitan,2017,518500,YPA,S,Broadmeadows
Western Metropolitan,2017,665000,hockingstuart,S,Brooklyn
Northern Metropolitan,2017,692000,Jellis,S,Brunswick
Northern Metropolitan,2017,1305000,Nicholson,S,Brunswick East
Northern Metropolitan,2017,1100000,Brad,S,Brunswick West
Northern Metropolitan,2017,573000,Jellis,S,Brunswick West
Eastern Metropolitan,2017,1060000,Fletchers,S,Bulleen
Northern Metropolitan,2017,805000,Barry,S,Bundoora
Northern Metropolitan,2017,682000,Ray,S,Bundoora
Northern Metropolitan,2017,510000,Stockdale,S,Bundoora
Western Metropolitan,2017,535000,Barry,S,Burnside Heights
Eastern Metropolitan,2017,1088000,Ray,PI,Burwood East
Eastern Metropolitan,2017,1180000,Fletchers,S,Burwood East
Western Metropolitan,2017,630000,YPA,PI,Cairnlea
Southern Metropolitan,2017,677000,Noel,S,Camberwell
Southern Metropolitan,2017,670000,Jellis,VB,Camberwell
Southern Metropolitan,2017,1320000,Bekdon,PI,Camberwell
Southern Metropolitan,2017,816000,Nelson,S,Canterbury
Northern Metropolitan,2017,350000,Woodards,VB,Carlton
Northern Metropolitan,2017,620000,Woodards,S,Carlton
Northern Metropolitan,2017,1760000,Nelson,S,Carlton
Southern Metropolitan,2017,300000,Ray,PI,Carnegie
Western Metropolitan,2017,545000,Metro,SP,Caroline Springs
Southern Metropolitan,2017,1800000,Gary,VB,Caulfield South
Southern Metropolitan,2017,1091500,hockingstuart,S,Caulfield South
Southern Metropolitan,2017,1140000,O'Brien,S,Cheltenham
Southern Metropolitan,2017,950000,Chisholm,S,Cheltenham
Southern Metropolitan,2017,1171000,Ray,S,Cheltenham
Southern Metropolitan,2017,425000,Purplebricks,S,Cheltenham
Southern Metropolitan,2017,1116000,Ray,S,Cheltenham
Northern Metropolitan,2017,1030000,Nelson,S,Clifton Hill
Eastern Victoria,2017,689000,Harcourts,SP,Clyde North
Northern Metropolitan,2017,900000,Jellis,VB,Coburg
Northern Metropolitan,2017,620000,Raine,S,Coburg
Northern Metropolitan,2017,922000,Melbourne,SP,Coburg
Northern Metropolitan,2017,1077000,Jellis,S,Coburg
Northern Metropolitan,2017,800000,Raine,SA,Coburg North
Northern Metropolitan,2017,805000,Jellis,PI,Coburg North
Northern Metropolitan,2017,665000,RE,PI,Craigieburn
Northern Metropolitan,2017,607000,@Realty,S,Craigieburn
Northern Metropolitan,2017,515500,RE,S,Craigieburn
Northern Metropolitan,2017,509500,@Realty,S,Craigieburn
Northern Metropolitan,2017,660000,LJ,S,Craigieburn
South-Eastern Metropolitan,2017,572000,O'Brien,S,Cranbourne
Eastern Metropolitan,2017,932000,Hoskins,S,Croydon
Eastern Metropolitan,2017,566100,RW,S,Croydon
Eastern Metropolitan,2017,570000,McGrath,SP,Croydon
Eastern Metropolitan,2017,875000,Barry,S,Croydon
Eastern Metropolitan,2017,810000,Gardiner,SA,Croydon North
South-Eastern Metropolitan,2017,585000,McLennan,S,Dandenong
South-Eastern Metropolitan,2017,348000,McLennan,S,Dandenong
South-Eastern Metropolitan,2017,627000,Barry,S,Dandenong North
South-Eastern Metropolitan,2017,760000,O'Brien,SP,Dandenong North
Northern Victoria,2017,621000,Mason,S,Diamond Creek
South-Eastern Metropolitan,2017,612000,Buxton,S,Dingley Village
Eastern Metropolitan,2017,840000,Philip,SP,Doncaster
Eastern Metropolitan,2017,945000,Ham,S,Doncaster
Eastern Metropolitan,2017,1856000,Barry,SP,Doncaster East
Eastern Metropolitan,2017,2705000,Ray,S,Donvale
Eastern Metropolitan,2017,818000,Ray,S,Donvale
Eastern Metropolitan,2017,852000,Ray,PI,Donvale
Northern Victoria,2017,530500,Buckingham,S,Doreen
South-Eastern Metropolitan,2017,1092000,Hodges,S,Edithvale
