source,target,value
Nelson,Airport West,640000
Barry,Albion,570000
Greg,Altona North,900000
Fletchers,Balwyn North,1275000
Fletchers,Bayswater,640000
hockingstuart,Bentleigh,1045000
Buxton,Bentleigh East,1220000
Barry,Briar Hill,840000
RT,Brighton,2650000
Chisholm,Brighton,380000
Buxton,Brighton East,1731000
Barry,Broadmeadows,465000
YPA,Broadmeadows,518500
Barry,Burnside Heights,535000
YPA,Cairnlea,630000
Noel,Camberwell,677000
Bekdon,Camberwell,1320000
Nelson,Canterbury,816000
Woodards,Carlton,350000
Chisholm,Cheltenham,950000
Jellis,Coburg,900000
Melbourne,Coburg,922000
RE,Craigieburn,665000
RE,Craigieburn,515500
LJ,Craigieburn,660000
Hoskins,Croydon,932000
McGrath,Croydon,570000
Barry,Dandenong North,627000
Mason,Diamond Creek,621000
Barry,Doncaster East,1856000
Ray,Donvale,2705000
Buckingham,Doreen,530500
Barry,Eltham,805000
Iconek,Epping,940000
hockingstuart,Epping,437000
Nelson,Essendon,291000
Brad,Essendon West,750000
Nelson,Essendon West,2200000
Nelson,Fitzroy North,1350000
Jellis,Fitzroy North,1852000
Burnham,Footscray,170000
Ray,Frankston North,611000
hockingstuart,Frankston South,755000
Raine,Gisborne,521000
Thomson,Glen Iris,500000
Jellis,Glenroy,525000
Darren,Greensborough,695000
Chisholm,Hampton,1210000
Jellis,Hawthorn,1000000
Jellis,Hawthorn,2900000
Jellis,Hawthorn,450000
McGrath,Healesville,650000
William,Heidelberg West,726500
Hodges,Highett,645000
YPA,Hillside,650500
Ray,Huntingdale,750000
YPA,Jacana,650000
YPA,Jacana,390000
Brad,Keilor Downs,735000
Whiting,Keilor East,520000
Edward,Kensington,967000
Edward,Kensington,535000
Jellis,Kew East,862000
Barry,Keysborough,761000
YPA,Kings Park,530000
Ray,Lalor,750000
McGrath,Maidstone,280000
Rendina,Maidstone,895000
Raine,Melton,320000
PRDNationwide,Melton,480000
Harcourts,Mernda,670000
Love,Mill Park,460000
Noel,Mitcham,950000
Noel,Mitcham,970000
Ray,Montmorency,655000
McGrath,Mount Waverley,1205000
Ray,Mount Waverley,1385000
Fletchers,Mount Waverley,2000000
Williams,Newport,710000
Fletchers,Nunawading,1100000
Nelson,Oak Park,610000
Ray,Ormond,454000
Gary,Ormond,562000
Obrien,Parkdale,1000000
Jellis,Pascoe Vale,1501000
Brad,Pascoe Vale,780000
Reliance,Point Cook,660000
Lucas,Port Melbourne,2450000
RW,Reservoir,840000
Nelson,Reservoir,668500
Biggin,Richmond,890500
Harcourts,Rowville,870000
hockingstuart,Sandringham,643500
O'Brien,Seaford,572000
Village,Seddon,850000
Millership,South Morang,600000
iSell,Springvale,752500
Bells,St Albans,565000
YPA,St Albans,610000
Gary,St Kilda,350000
hockingstuart,St Kilda,525000
Woodards,St Kilda,517500
Rounds,St Kilda,365000
Raine,Sunbury,580000
Raine,Sunbury,420000
Jellis,Surrey Hills,2100000
Purplebricks,Tarneit,526000
YPA,Taylors Hill,605500
hockingstuart,Templestowe Lower,1705000
Jellis,Thornbury,2070000
Miles,Viewbank,905000
Ray,Werribee,510000
Jas,West Footscray,845000
hockingstuart,Wyndham Vale,480000
Moonee,Avondale Heights,730000
Barry,Bundoora,830000
Prof.,Caroline Springs,450000
LJ,Craigieburn,560000
Raine,Craigieburn,511500
McGrath,Croydon,1060000
HAR,Doreen,477000
Eview,Emerald,462000
Harcourts,Forest Hill,1120000
Ash,Frankston,697250
O'Brien,Frankston,561000
Eview,Glenroy,685000
Purplebricks,Heathmont,1175000
Buxton,Highett,1410000
hockingstuart,Melton South,410000
Thomson,Mentone,1120000
Buxton,Oakleigh,1455000
LJ,Point Cook,587500
Noel,Rowville,930000
Sweeney,Seddon,807500
hockingstuart/Biggin,Yarraville,755000
Nelson,Airport West,975000
Nelson,Airport West,891000
hockingstuart,Altona North,700000
Barry,Ardeer,624000
Nelson,Ascot Vale,1050000
Jellis,Ashburton,2850500
Buxton,Aspendale,1095000
hockingstuart,Balwyn,2800000
Fletchers,Balwyn,2360000
Bekdon,Balwyn North,1190000
Fletchers,Balwyn North,2255000
Noel,Balwyn North,1905000
Chisholm,Beaumaris,1820000
Bayside,Beaumaris,1645000
McGrath,Beaumaris,1880000
Buxton,Bentleigh,1350000
hockingstuart,Bentleigh,1300000
Jellis,Bentleigh East,1282000
Buxton,Bentleigh East,1180000
Jellis,Bentleigh East,1669000
Buxton,Bentleigh East,1146000
hockingstuart,Black Rock,1980000
